"subj","wordNo","readTimes","word","item","quant","pred","itemtype"
"subj1",5,352,"to","filler-item25",NA,NA,"filler"
"subj1",6,304,"ship","filler-item25",NA,NA,"filler"
"subj1",7,392,"each","filler-item25",NA,NA,"filler"
"subj1",8,320,"of","filler-item25",NA,NA,"filler"
"subj1",9,272,"its","filler-item25",NA,NA,"filler"
"subj1",10,400,"books","filler-item25",NA,NA,"filler"
"subj1",11,360,"free","filler-item25",NA,NA,"filler"
"subj1",12,376,"of","filler-item25",NA,NA,"filler"
"subj1",13,432,"charge.","filler-item25",NA,NA,"filler"
"subj1",1,433,"Every","filler-item15",NA,NA,"filler"
"subj1",2,544,"gadget","filler-item15",NA,NA,"filler"
"subj1",3,511,"patented","filler-item15",NA,NA,"filler"
"subj1",4,521,"by","filler-item15",NA,NA,"filler"
"subj1",5,384,"this","filler-item15",NA,NA,"filler"
"subj1",6,400,"inventor","filler-item15",NA,NA,"filler"
"subj1",7,400,"proved","filler-item15",NA,NA,"filler"
"subj1",8,408,"very","filler-item15",NA,NA,"filler"
"subj1",9,440,"useful","filler-item15",NA,NA,"filler"
"subj1",1,616,"The","filler-item2",NA,NA,"filler"
"subj1",2,552,"burglar","filler-item2",NA,NA,"filler"
"subj1",3,680,"stole","filler-item2",NA,NA,"filler"
"subj1",4,680,"the","filler-item2",NA,NA,"filler"
"subj1",5,584,"Picasso","filler-item2",NA,NA,"filler"
"subj1",6,584,"painting","filler-item2",NA,NA,"filler"
"subj1",7,560,"two","filler-item2",NA,NA,"filler"
"subj1",8,512,"days","filler-item2",NA,NA,"filler"
"subj1",9,472,"ago.","filler-item2",NA,NA,"filler"
"subj1",1,392,"A","filler-item9",NA,NA,"filler"
"subj1",2,376,"kid","filler-item9",NA,NA,"filler"
"subj1",3,432,"broke","filler-item9",NA,NA,"filler"
"subj1",4,352,"his","filler-item9",NA,NA,"filler"
"subj1",5,344,"piggy","filler-item9",NA,NA,"filler"
"subj1",6,352,"bank","filler-item9",NA,NA,"filler"
"subj1",7,336,"open","filler-item9",NA,NA,"filler"
"subj1",8,320,"and","filler-item9",NA,NA,"filler"
"subj1",9,328,"collected","filler-item9",NA,NA,"filler"
"subj1",10,352,"all","filler-item9",NA,NA,"filler"
"subj1",11,304,"his","filler-item9",NA,NA,"filler"
"subj1",12,536,"treasures.","filler-item9",NA,NA,"filler"
"subj1",1,392,"The","filler-item19",NA,NA,"filler"
"subj1",2,384,"mothers","filler-item19",NA,NA,"filler"
"subj1",3,368,"ran","filler-item19",NA,NA,"filler"
"subj1",4,360,"themselves","filler-item19",NA,NA,"filler"
"subj1",5,424,"ragged","filler-item19",NA,NA,"filler"
"subj1",6,376,"chasing","filler-item19",NA,NA,"filler"
"subj1",7,448,"their","filler-item19",NA,NA,"filler"
"subj1",8,752,"toddlers.","filler-item19",NA,NA,"filler"
"subj1",1,369,"The","filler-item3",NA,NA,"filler"
"subj1",2,376,"flight","filler-item3",NA,NA,"filler"
"subj1",3,384,"attendant","filler-item3",NA,NA,"filler"
"subj1",4,344,"retired","filler-item3",NA,NA,"filler"
"subj1",5,416,"two","filler-item3",NA,NA,"filler"
"subj1",6,456,"months","filler-item3",NA,NA,"filler"
"subj1",7,576,"ago.","filler-item3",NA,NA,"filler"
"subj1",1,328,"Each","filler-item8",NA,NA,"filler"
"subj1",2,408,"manager","filler-item8",NA,NA,"filler"
"subj1",3,328,"made","filler-item8",NA,NA,"filler"
"subj1",4,320,"the","filler-item8",NA,NA,"filler"
"subj1",5,344,"final","filler-item8",NA,NA,"filler"
"subj1",6,304,"decision","filler-item8",NA,NA,"filler"
"subj1",7,320,"right","filler-item8",NA,NA,"filler"
"subj1",8,352,"before","filler-item8",NA,NA,"filler"
"subj1",9,408,"the","filler-item8",NA,NA,"filler"
"subj1",10,720,"holidays.","filler-item8",NA,NA,"filler"
"subj1",1,360,"Each","filler-item10",NA,NA,"filler"
"subj1",2,400,"cowboy","filler-item10",NA,NA,"filler"
"subj1",3,336,"in","filler-item10",NA,NA,"filler"
"subj1",4,368,"western","filler-item10",NA,NA,"filler"
"subj1",5,448,"movies","filler-item10",NA,NA,"filler"
"subj1",6,399,"was","filler-item10",NA,NA,"filler"
"subj1",7,409,"played","filler-item10",NA,NA,"filler"
"subj1",8,416,"by","filler-item10",NA,NA,"filler"
"subj1",9,400,"a","filler-item10",NA,NA,"filler"
"subj1",10,376,"real","filler-item10",NA,NA,"filler"
"subj1",11,359,"cowboy","filler-item10",NA,NA,"filler"
"subj1",12,345,"in","filler-item10",NA,NA,"filler"
"subj1",13,296,"the","filler-item10",NA,NA,"filler"
"subj1",14,384,"seventies.","filler-item10",NA,NA,"filler"
"subj1",1,616,"The","filler-item13",NA,NA,"filler"
"subj1",2,1056,"artists","filler-item13",NA,NA,"filler"
"subj1",3,384,"painted","filler-item13",NA,NA,"filler"
"subj1",4,391,"themselves","filler-item13",NA,NA,"filler"
"subj1",5,329,"green","filler-item13",NA,NA,"filler"
"subj1",6,376,"to","filler-item13",NA,NA,"filler"
"subj1",7,392,"express","filler-item13",NA,NA,"filler"
"subj1",8,368,"their","filler-item13",NA,NA,"filler"
"subj1",9,352,"support","filler-item13",NA,NA,"filler"
"subj1",10,384,"to","filler-item13",NA,NA,"filler"
"subj1",11,432,"ecologists.","filler-item13",NA,NA,"filler"
"subj1",1,815,"A","filler-item26",NA,NA,"filler"
"subj1",2,529,"young","filler-item26",NA,NA,"filler"
"subj1",3,520,"boy","filler-item26",NA,NA,"filler"
"subj1",4,440,"scout","filler-item26",NA,NA,"filler"
"subj1",5,488,"caught","filler-item26",NA,NA,"filler"
"subj1",6,440,"a","filler-item26",NA,NA,"filler"
"subj1",7,408,"fish","filler-item26",NA,NA,"filler"
"subj1",8,408,"and","filler-item26",NA,NA,"filler"
"subj1",9,352,"served","filler-item26",NA,NA,"filler"
"subj1",10,328,"it","filler-item26",NA,NA,"filler"
"subj1",11,344,"for","filler-item26",NA,NA,"filler"
"subj1",12,327,"dinner","filler-item26",NA,NA,"filler"
"subj1",13,336,"the","filler-item26",NA,NA,"filler"
"subj1",14,441,"same","filler-item26",NA,NA,"filler"
